,EOS
0,209.0
1,252.0
2,
3,
4,
5,
6,
7,
8,
9,320.0
10,
11,
12,104.0
13,112.0
14,260.0
15,
16,154.0
17,295.0
18,298.0
19,234.0
20,207.0
21,112.0
22,101.0
23,120.0
24,216.0
25,214.0
26,224.0
27,204.0
28,216.0
29,223.0
30,228.0
31,252.0
32,218.0
33,216.0
34,233.0
35,250.0
36,400.0
37,244.0
38,250.0
39,241.0
40,225.0
41,208.0
42,781.0
43,260.0
44,280.0
45,303.0
46,332.0
47,337.0
48,333.0
49,326.0
50,320.0
51,308.0
52,442.0
53,384.0
54,334.0
55,351.0
56,307.0
57,325.0
58,347.0
59,430.0
60,313.0
61,306.0
62,309.0
63,295.0
64,309.0
65,299.0
66,308.0
67,304.0
68,300.0
69,578.0
70,781.0
71,307.0
72,418.0
73,518.0
74,434.0
75,440.0
76,317.0
77,398.0
78,419.0
79,317.0
80,300.0
81,309.0
82,302.0
83,310.0
84,301.0
85,311.0
86,300.0
87,412.0
88,302.0
89,319.0
90,328.0
91,401.0
92,318.0
93,410.0
94,419.0
95,330.0
96,423.0
97,777.0
98,999.0
99,336.0
100,531.0
101,466.0
102,326.0
103,308.0
104,452.0
105,509.0
106,477.0
107,509.0
108,430.0
109,556.0
110,445.0
111,418.0
112,388.0
113,402.0
114,484.0
115,397.0
116,444.0
117,462.0
118,346.0
119,498.0
120,542.0
121,540.0
122,556.0
123,468.0
124,509.0
125,465.0
126,487.0
127,462.0
128,565.0
129,531.0
130,432.0
131,509.0
132,489.0
133,517.0
134,420.0
135,487.0
136,469.0
137,731.0
138,613.0
139,589.0
140,555.0
141,520.0
142,454.0
143,541.0
144,454.0
145,533.0
146,419.0
147,400.0
148,473.0
149,57.0
150,484.0
151,
152,528.0
153,494.0
154,317.0
155,327.0
156,250.0
157,361.0
158,240.0
159,321.0
160,307.0
161,255.0
162,190.0
163,346.0
164,298.0
165,100.0
166,216.0
167,208.0
168,216.0
169,248.0
170,251.0
171,308.0
172,258.0
173,260.0
174,300.0
175,261.0
176,306.0
177,266.0
178,243.0
179,255.0
180,443.0
181,411.0
182,434.0
183,394.0
184,311.0
185,361.0
186,332.0
187,912.0
188,1088.0
189,801.0
190,768.0
191,840.0
192,841.0
193,505.0
194,335.0
195,
196,
197,
198,282.0
199,282.0
200,297.0
201,565.0
202,398.0
203,402.0
204,420.0
205,251.0
206,261.0
207,253.0
208,397.0
209,316.0
210,285.0
211,298.0
212,322.0
213,288.0
214,411.0
215,320.0
216,444.0
217,308.0
218,359.0
219,336.0
220,269.0
221,318.0
222,303.0
223,
224,357.0
225,244.0
226,209.0
227,189.0
228,163.0
229,252.0
230,645.0
231,235.0
232,290.0
233,210.0
234,219.0
235,220.0
236,281.0
237,
238,248.0
239,268.0
240,252.0
241,195.0
242,700.0
243,181.0
244,700.0
245,298.0
246,245.0
247,217.0
248,269.0
249,274.0
250,451.0
251,277.0
252,261.0
253,250.0
254,205.0
255,191.0
256,263.0
257,423.0
258,379.0
259,448.0
260,235.0
261,244.0
262,279.0
263,234.0
264,242.0
265,212.0
266,297.0
267,285.0
268,293.0
269,287.0
270,188.0
271,220.0
272,199.0
273,272.0
274,262.0
275,433.0
276,294.0
277,276.0
278,227.0
279,301.0
280,321.0
281,280.0
282,380.0
283,325.0
284,163.0
285,207.0
286,302.0
287,288.0
288,252.0
289,270.0
290,336.0
291,700.0
292,251.0
293,700.0
294,700.0
295,200.0
296,269.0
297,700.0
298,177.0
299,280.0
300,224.0
301,210.0
302,231.0
303,283.0
304,300.0
305,218.0
306,227.0
307,334.0
308,225.0
309,281.0
310,223.0
311,203.0
312,251.0
313,244.0
314,
315,238.0
316,195.0
317,309.0
318,347.0
319,234.0
320,
321,293.0
322,
323,229.0
324,161.0
325,220.0
326,202.0
327,217.0
328,252.0
329,122.0
330,117.0
331,117.0
332,136.0
333,
334,440.0
335,488.0
336,445.0
337,409.0
338,376.0
339,429.0
340,391.0
341,378.0
342,419.0
343,419.0
344,465.0
345,488.0
346,510.0
347,462.0
348,522.0
349,510.0
350,579.0
351,475.0
352,359.0
353,564.0
354,357.0
355,400.0
356,465.0
357,560.0
358,520.0
359,402.0
360,422.0
361,410.0
362,387.0
363,489.0
364,521.0
365,399.0
366,510.0
367,402.0
368,495.0
369,413.0
370,411.0
371,425.0
372,423.0
373,422.0
374,488.0
375,498.0
376,435.0
377,519.0
378,531.0
379,499.0
380,521.0
381,440.0
382,433.0
383,403.0
384,370.0
385,498.0
386,435.0
387,397.0
388,466.0
389,309.0
390,377.0
391,430.0
392,474.0
393,376.0
394,403.0
395,377.0
396,376.0
397,120.0
398,191.0
399,100.0
400,106.0
